[LEVEL1]
WEATHER: 0.0,0.0,0.0,0.0,0.0
CHANGE_BACKGROUND: viech.png
AIRPLANE_0: VIECH,-100,500,0
AIRPLANE_1: VIECH,-200,450,0
AIRPLANE_2: VIECH,-500,400,0
AIRPLANE_3: VIECH,-300,500,0
AIRPLANE_4: VIECH,-120,700,0
AIRPLANE_5: VIECH,-400,600,0
MAX_AIRPLANES: 6
INTRO_TEXT: Viech Attacks!
INTRO_IMAGE: viech/viech_lvl1.png
INTRO_SOUND: oerks.ogg
INTRO_TIME: 300


[LEVEL2]
AIRPLANE_0: VIECH,-100,700,0
AIRPLANE_1: VIECH,-200,550,0
AIRPLANE_2: VIECH,-500,620,0
AIRPLANE_3: VIECH,-300,500,0
AIRPLANE_4: VIECH,-100,600,0
AIRPLANE_5: VIECH,-400,450,0
AIRPLANE_6: FRED,1350,600,0
AIRPLANE_7: FRED,1500,700,0
AIRPLANE_8: FRED,1600,500,0
AIRPLANE_9: FRED,1100,650,0
AIRPLANE_10: FRED,1400,700,0
AIRPLANE_11: FRED,1300,550,0
MAX_AIRPLANES: 14
INTRO_TEXT: Here comes Fred
INTRO_IMAGE: viech/viech_lvl2.png
INTRO_SOUND: oe.ogg
INTRO_TIME: 300

[LEVEL3]
AIRPLANE_0: NUKE_VIECH,-160,200,0
AIRPLANE_1: NUKE_VIECH,-200,300,0
AIRPLANE_2: NUKE_VIECH,-500,400,0
AIRPLANE_3: NUKE_VIECH,-300,500,0
AIRPLANE_4: NUKE_VIECH,-130,600,0
AIRPLANE_5: NUKE_VIECH,1100,700,0
AIRPLANE_6: NUKE_VIECH,1200,500,0
AIRPLANE_7: NUKE_VIECH,1400,600,0
AIRPLANE_8: NUKE_VIECH,1250,700,0
AIRPLANE_9: FRED,1100,650,0
AIRPLANE_10: FRED,1400,700,0
AIRPLANE_11: FRED,1300,600,0
AIRPLANE_12: FRED,-200,650,0
AIRPLANE_13: FRED,-500,550,0
MAX_AIRPLANES: 14
INTRO_TEXT: Nuclear Winter
INTRO_IMAGE: viech/viech_lvl3.png
INTRO_SOUND:
INTRO_TIME: 300


[LEVEL4]
AIRPLANE_0: JET_VIECH,-100,200,0
AIRPLANE_1: JET_VIECH,-200,300,0
AIRPLANE_2: JET_VIECH,-500,400,0
AIRPLANE_3: JET_VIECH,-300,500,0
AIRPLANE_4: JET_VIECH,-100,600,0
AIRPLANE_5: JET_VIECH,-400,700,0
AIRPLANE_6: JET_VIECH,-100,200,0
AIRPLANE_7: JET_VIECH,-200,300,0
AIRPLANE_8: JET_VIECH,-500,400,0
AIRPLANE_9: JET_VIECH,-300,500,0
AIRPLANE_10: JET_VIECH,-100,600,0
AIRPLANE_11: JET_VIECH,-400,700,0
AIRPLANE_12: JET_VIECH,-100,200,0
AIRPLANE_13: JET_VIECH,-200,300,0
AIRPLANE_14: JET_VIECH,-500,400,0
AIRPLANE_15: VIECH,1100,550,0
AIRPLANE_16: VIECH,1200,500,0
AIRPLANE_17: VIECH,1400,600,0
AIRPLANE_18: VIECH,1250,700,0
AIRPLANE_19: VIECH,1250,700,0
AIRPLANE_20: JET_VIECH,-100,200,0
AIRPLANE_21: JET_VIECH,-200,300,0
AIRPLANE_22: JET_VIECH,-500,400,0
AIRPLANE_23: JET_VIECH,-300,500,0
AIRPLANE_24: JET_VIECH,-100,600,0
AIRPLANE_25: JET_VIECH,-400,700,0
AIRPLANE_26: JET_VIECH,-100,200,0
AIRPLANE_27: JET_VIECH,-200,300,0
AIRPLANE_28: JET_VIECH,-500,400,0
AIRPLANE_29: JET_VIECH,-300,500,0
AIRPLANE_30: JET_VIECH,-100,600,0
AIRPLANE_31: VIECH,1100,550,0
AIRPLANE_32: VIECH,1200,500,0
AIRPLANE_33: VIECH,1400,600,0
AIRPLANE_34: VIECH,1350,700,0
AIRPLANE_35: VIECH,1250,650,0
AIRPLANE_36: JET_VIECH,-100,200,0
AIRPLANE_37: JET_VIECH,-200,300,0
AIRPLANE_38: JET_VIECH,-500,400,0
AIRPLANE_39: JET_VIECH,-300,500,0
AIRPLANE_40: JET_VIECH,-100,200,0
AIRPLANE_41: JET_VIECH,-200,300,0
AIRPLANE_42: JET_VIECH,-500,400,0
AIRPLANE_43: JET_VIECH,-300,500,0
AIRPLANE_44: JET_VIECH,-100,600,0
AIRPLANE_45: JET_VIECH,-400,700,0
AIRPLANE_46: JET_VIECH,-100,200,0
AIRPLANE_47: JET_VIECH,-200,300,0
AIRPLANE_48: JET_VIECH,-500,400,0
AIRPLANE_49: JET_VIECH,-300,500,0
AIRPLANE_50: JET_VIECH,-100,600,0
AIRPLANE_51: JET_VIECH,-400,700,0
AIRPLANE_52: JET_VIECH,-100,200,0
AIRPLANE_53: JET_VIECH,-200,300,0
AIRPLANE_54: JET_VIECH,-500,400,0
AIRPLANE_55: VIECH,1100,550,0
AIRPLANE_56: VIECH,1200,500,0
AIRPLANE_57: VIECH,1400,600,0
AIRPLANE_58: VIECH,1250,700,0
AIRPLANE_59: VIECH,1250,700,0
AIRPLANE_60: JET_VIECH,-100,200,0
AIRPLANE_61: JET_VIECH,-200,300,0
AIRPLANE_62: JET_VIECH,-500,400,0
AIRPLANE_63: JET_VIECH,-300,500,0
AIRPLANE_64: JET_VIECH,-100,600,0
AIRPLANE_65: JET_VIECH,-400,700,0
AIRPLANE_66: JET_VIECH,-100,200,0
AIRPLANE_67: JET_VIECH,-200,300,0
AIRPLANE_68: JET_VIECH,-500,400,0
AIRPLANE_69: JET_VIECH,-300,500,0
AIRPLANE_70: JET_VIECH,-100,600,0
AIRPLANE_71: VIECH,1100,550,0
AIRPLANE_72: VIECH,1200,500,0
AIRPLANE_73: VIECH,1400,600,0
AIRPLANE_74: VIECH,1350,700,0
AIRPLANE_75: VIECH,1250,650,0
AIRPLANE_76: JET_VIECH,-100,200,0
AIRPLANE_77: JET_VIECH,-200,300,0
AIRPLANE_78: JET_VIECH,-500,400,0
AIRPLANE_79: JET_VIECH,-300,500,0
MAX_AIRPLANES: 20
INTRO_TEXT: No Blood for Oe
INTRO_IMAGE: viech/viech_lvl4.png
INTRO_SOUND: pay.ogg
INTRO_TIME: 300

[LEVEL5]
AIRPLANE_0: STEALTH_VIECH,-100,650,0
AIRPLANE_1: STEALTH_VIECH,-200,700,0
AIRPLANE_2: STEALTH_VIECH,-500,400,0
AIRPLANE_3: STEALTH_VIECH,-300,500,0
AIRPLANE_4: STEALTH_VIECH,-100,600,0
AIRPLANE_5: STEALTH_VIECH,1100,700,0
AIRPLANE_6: STEALTH_VIECH,1200,450,0
AIRPLANE_7: STEALTH_VIECH,2000,350,0
AIRPLANE_8: STEALTH_VIECH,1300,400,0
AIRPLANE_9: STEALTH_VIECH,1500,500,0
AIRPLANE_10: STEALTH_VIECH,-1200,600,0
AIRPLANE_11: STEALTH_VIECH,-1400,700,0
AIRPLANE_12: STEALTH_VIECH,-2500,400,0
AIRPLANE_13: STEALTH_VIECH,-3300,500,0
AIRPLANE_14: STEALTH_VIECH,-2100,600,0
AIRPLANE_15: STEALTH_VIECH,3000,700,0
AIRPLANE_16: STEALTH_VIECH,3500,650,0
AIRPLANE_17: STEALTH_VIECH,3200,600,0
AIRPLANE_18: STEALTH_VIECH,4000,400,0
AIRPLANE_19: STEALTH_VIECH,5500,500,0
AIRPLANE_20: STEALTH_VIECH,-3200,600,0
AIRPLANE_21: STEALTH_VIECH,-4400,700,0
AIRPLANE_22: STEALTH_VIECH,-4500,400,0
AIRPLANE_23: STEALTH_VIECH,-5300,500,0
AIRPLANE_24: STEALTH_VIECH,-5100,600,0
AIRPLANE_25: STEALTH_VIECH,4000,700,0
AIRPLANE_26: STEALTH_VIECH,5500,650,0
AIRPLANE_27: STEALTH_VIECH,5200,550,0
AIRPLANE_28: STEALTH_VIECH,6000,400,0
AIRPLANE_29: STEALTH_VIECH,6500,500,0
AIRPLANE_30: STEALTH_VIECH,-5200,600,0
AIRPLANE_31: STEALTH_VIECH,-5400,700,0
AIRPLANE_32: STEALTH_VIECH,-5500,400,0
AIRPLANE_33: STEALTH_VIECH,-6300,500,0
AIRPLANE_34: STEALTH_VIECH,-7100,600,0
AIRPLANE_35: STEALTH_VIECH,5000,700,0
AIRPLANE_36: STEALTH_VIECH,6500,650,0
AIRPLANE_37: STEALTH_VIECH,6200,550,0
AIRPLANE_38: STEALTH_VIECH,7000,400,0
AIRPLANE_39: STEALTH_VIECH,7500,500,0
MAX_AIRPLANES: 40
INTRO_TEXT: Hidden and dangerous
INTRO_IMAGE: viech/viech_lvl5.png
INTRO_SOUND:
INTRO_TIME: 300

[LEVEL6]
AIRPLANE_0: H_VIECH,-250,600,0
AIRPLANE_1: VIECH,-200,300,0
AIRPLANE_2: VIECH,-500,400,0
AIRPLANE_3: VIECH,-300,500,0
AIRPLANE_4: VIECH,-100,600,0
AIRPLANE_5: VIECH,-400,700,0
AIRPLANE_6: JET_VIECH,-100,200,0
AIRPLANE_7: JET_VIECH,-200,300,0
AIRPLANE_8: JET_VIECH,-500,400,0
AIRPLANE_9: JET_VIECH,-300,500,0
AIRPLANE_10: JET_VIECH,-100,600,0
AIRPLANE_11: JET_VIECH,-400,700,0
AIRPLANE_12: JET_VIECH,-100,200,0
AIRPLANE_13: JET_VIECH,-200,300,0
AIRPLANE_14: JET_VIECH,-500,400,0
AIRPLANE_15: VIECH,1100,400,0
AIRPLANE_16: VIECH,1200,500,0
AIRPLANE_17: VIECH,1400,600,0
AIRPLANE_18: VIECH,1250,550,0
AIRPLANE_19: VIECH,1350,700,0
AIRPLANE_20: JET_VIECH,-100,200,0
AIRPLANE_21: JET_VIECH,-200,300,0
AIRPLANE_22: JET_VIECH,-500,400,0
AIRPLANE_23: JET_VIECH,-300,500,0
AIRPLANE_24: JET_VIECH,-100,600,0
AIRPLANE_25: JET_VIECH,-400,700,0
AIRPLANE_26: JET_VIECH,-100,200,0
AIRPLANE_27: FRED,1500,750,0
AIRPLANE_28: FRED,1600,600,0
AIRPLANE_29: FRED,1100,650,0
AIRPLANE_30: FRED,1400,700,0
AIRPLANE_31: FRED,1300,550,0
AIRPLANE_32: NUKE_VIECH,-500,400,0
AIRPLANE_33: NUKE_VIECH,-300,500,0
AIRPLANE_34: NUKE_VIECH,-130,600,0
AIRPLANE_35: NUKE_VIECH,1100,700,0
AIRPLANE_36: NUKE_VIECH,1200,500,0
AIRPLANE_37: NUKE_VIECH,1400,600,0
AIRPLANE_38: FRED,1600,700,0
AIRPLANE_39: FRED,1100,350,0
AIRPLANE_40: FRED,1400,650,0
AIRPLANE_41: FRED,1300,500,0
AIRPLANE_42: FRED,-250,600,0
AIRPLANE_43: FRED,-500,450,0
AIRPLANE_44: FRED,-400,400,0
AIRPLANE_45: FRED,-300,550,0
AIRPLANE_46: VIECH,1200,500,0
AIRPLANE_47: VIECH,1400,600,0
AIRPLANE_48: VIECH,1250,670,0
AIRPLANE_49: VIECH,1350,700,0
AIRPLANE_50: VIECH,1350,700,0
AIRPLANE_51: VIECH,2200,550,0
AIRPLANE_52: VIECH,2400,650,0
AIRPLANE_53: FRED,-1500,440,0
AIRPLANE_54: FRED,-1400,640,0
AIRPLANE_55: FRED,-1300,580,0
AIRPLANE_56: FRED,-1600,520,0
AIRPLANE_57: FRED,1500,600,0
AIRPLANE_58: FRED,1600,650,0
AIRPLANE_59: FRED,1100,675,0
AIRPLANE_60: FRED,1400,700,0
AIRPLANE_61: FRED,1300,500,0
